target,status,file,display_name,organisation_identified,channel,source_url,enlarged,white_on_colour,reason
Justice Institute of British Columbia,done,jibc.png,Justice Institute of British Columbia,"Justice Institute of British Columbia (JIBC), New Westminster, Canada",official-site,https://www.jibc.ca/themes/custom/jibc/logo.svg,False,True,"The only official logo is the reversed SVG, so I built it with --bg 004a98, the blue behind it in the site header. It is a vector and sharp. Note that the batch lists the country as United Kingdom, but JIBC is in Canada."
KIMEP University,done,kimep-university.png,KIMEP University,"KIMEP University, Almaty, Kazakhstan",official-site,https://www.kimep.kz/wp-content/themes/kimep/img/logo-main.svg,False,True,"The only official logo is the white SVG, so I built it with --bg 57428b, KIMEP's purple from the site CSS. It is a vector and sharp."
KOSTT,done,kostt.png,KOSTT,"KOSTT - Transmission, System and Market Operator J.S.C., Kosovo",official-site,https://kostt.com/assets/img/logo/KosttLogoFull.png,False,False,"kostt.com serves an incomplete certificate chain. I added Sectigo's published intermediate certificate so that verification could complete; verification stayed on. The full uncropped lockup is 1638px and includes the trilingual legal name, so the kostt mark is small in the tile. A compact 223px symbol-and-name version also exists."
Karachaganak Petroleum Operating (KPO),done,karachaganak-petroleum-operating.png,Karachaganak Petroleum Operating,"Karachaganak Petroleum Operating B.V. (KPO), Aksai, Kazakhstan",official-site,https://www.kpo.kz/fileadmin/template/img/logon.png,True,False,"The only logo file is 75x57, so it is enlarged about 10x. It is legible but noticeably soft. Wikimedia has no KPO logo."
Kenya Airports Authority,done,kenya-airports-authority.png,Kenya Airports Authority,"Kenya Airports Authority (KAA), Kenya",wikimedia,https://upload.wikimedia.org/wikipedia/en/a/a0/Kenya_Airports_Authority_logo.png,True,False,Built from 334x298 with --upscale. kaa.go.ke still blocks automated access.
Kenya Insurance Regulatory Authority,done,kenya-insurance-regulatory-authority.png,Insurance Regulatory Authority,"Insurance Regulatory Authority (IRA), Kenya",wikimedia,https://upload.wikimedia.org/wikipedia/en/6/6b/Kenya_Insurance_Regulatory_Authority_Logo.png,True,False,"The source is only 82x91, enlarged about 9x. It is legible but soft. ira.go.ke still shows a reCAPTCHA page."
Kenya Office of the Director of Public Prosecutions,done,kenya-odpp.png,Office of the Director of Public Prosecutions,"Office of the Director of Public Prosecutions (ODPP), Kenya",official-site,https://odpp.go.ke/wp-content/uploads/2024/05/final-logo.png,True,False,"This is the site header lockup: the Kenya coat of arms plus the ODPP seal, 320x160, enlarged. Commons has no ODPP file."
Kenya Power and Lighting Company,done,kenya-power.png,Kenya Power,"Kenya Power and Lighting Company PLC (Kenya Power), Kenya",wikimedia,https://upload.wikimedia.org/wikipedia/en/3/36/Kenya_Power_logo.jpeg,True,False,Built from 335x297 with --upscale. This file is larger than the 138x120 site logo.
Kenya Roads Board,failed,,Kenya Roads Board,"Kenya Roads Board (KRB), Kenya",,,False,False,"krb.go.ke still resets HTTPS connections and times out over HTTP (503), and Wikimedia has no KRB logo. The Commons 'KRB Logo 2022' is an unrelated Indonesian logo."
Kenya Vision 2030 Delivery Secretariat,done,kenya-vision-2030.png,Kenya Vision 2030,"Kenya Vision 2030 Delivery Secretariat, Kenya",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Vision2030_logo.svg/1280px-Vision2030_logo.svg.png,False,False,"Wikimedia's 1280px render of Commons 'Vision2030_logo.svg', which is the Kenya Vision 2030 mark the Secretariat uses. Built from the PNG render, so no SVG was saved."
King Abdullah Port,done,king-abdullah-port.png,King Abdullah Port,"King Abdullah Port, King Abdullah Economic City, Saudi Arabia",official-site,https://www.kingabdullahport.com.sa/wp-content/uploads/2020/11/kap-logo-1.png,True,False,"Bilingual lockup, 188x150, enlarged. The media library lists a 413px KAP-logo.png, but the server returns the 188px file, and its only other size is a cropped thumbnail."
King Fahad Specialist Hospital,done,king-fahad-specialist-hospital-dammam.png,King Fahad Specialist Hospital Dammam,"King Fahad Specialist Hospital, Dammam, Saudi Arabia",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Kfsh_logo.png/1280px-Kfsh_logo.png,True,False,"Will confirmed the identity. Bilingual logo from Commons 'Kfsh_logo.png'. The original is 275x61, so Wikimedia's 1280px thumbnail is an enlargement and soft. kfsh.med.sa could not be reached."
King Faisal Medical City,failed,,King Faisal Medical City,"Probably King Faisal Medical City for Southern Regions, Abha, Saudi Arabia (not confirmed)",,,False,False,"Neither channel has a logo: Wikimedia has no article or file, and I found no reachable official website, only LinkedIn and Facebook. Will should also confirm it is not King Fahad Medical City (Riyadh) or KFSHRC, which is already in the library."
King Khalid Foundation,done,king-khalid-foundation.png,King Khalid Foundation,"King Khalid Foundation, Saudi Arabia",official-site,https://kkf.org.sa/assets/images/kkf-logo.png,True,True,"Wikimedia still has no logo. The site logo is bilingual, 220px and exists only with white lettering, so I enlarged it and placed it on the site's header green (#1a3428)."
Kraft,done,kraft-foods.png,Kraft Foods,"Kraft Foods Inc., United States",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Kraft_foods_logo.png/500px-Kraft_foods_logo.png,False,False,"I used the Kraft Foods Inc. corporate logo from 2009 to 2012: the lower-case 'kraft foods' wordmark with the multicolour burst (Commons file Kraft foods logo.png). The 2024 Kraft Heinz 'KRAFT' oval is a product-brand mark. The Commons file was taken from a photo, so its edges are slightly soft."
Kuwait Anti-Corruption Authority,failed,,Kuwait Anti-Corruption Authority,"Kuwait Anti-Corruption Authority (Nazaha), Kuwait",,,False,False,"Wikipedia and Commons (English and Arabic) still have no logo, and nazaha.gov.kw fails TLS certificate verification at the egress proxy, so it cannot be reached."
Kuwait Capital Market Authority,done,kuwait-capital-markets-authority.png,Capital Markets Authority,"Capital Markets Authority, State of Kuwait",official-site,https://www.cma.gov.kw/o/cma-theme/images/logo.png,False,True,"The bilingual header logo exists only in white, so I placed it on the site's main brand navy (#023651). Wikimedia has no logo."
Kuwait Energy Company,done,kuwait-energy.png,Kuwait Energy,"Kuwait Energy Company (subsidiary of United Energy Group), Kuwait",official-site,https://www.kuwaitenergy.co/wp-content/themes/kuwaitenergy/images/logo.png,True,False,"The only logo is a 200px header PNG, enlarged. Its light-grey line 'Subsidiary of United Energy Group' is faint on white."
Kuwait Foundation for the Advancement of Sciences (KFAS),done,kfas.png,Kuwait Foundation for the Advancement of Sciences,"Kuwait Foundation for the Advancement of Sciences (KFAS), Kuwait",official-site,https://www.kfas.org/Frontend/assets/img/logo-orange.png,True,False,"I used the 214px orange colour version from the site, enlarged."
Kuwait International Bank,done,kuwait-international-bank.png,Kuwait International Bank,"Kuwait International Bank (KIB), Kuwait",wikimedia,https://upload.wikimedia.org/wikipedia/en/b/b2/Kuwait_International_Bank_Logo.png,True,False,I enlarged the 383x185 English Wikipedia logo. kib.com.kw still sends every request to a security 404 page.
Kuwait National Fund for Small and Medium Enterprise Development,failed,,Kuwait National Fund,"Kuwait National Fund for Small and Medium Enterprise Development, Kuwait",,,False,False,"Wikipedia and Commons (English and Arabic) have no logo, and nationalfund.gov.kw is still behind a Sucuri JavaScript bot challenge, which I did not get around."
LAPFUND,failed,,LAPFUND,"Local Authorities Provident Fund (LAPFUND), Kenya",,,False,False,Wikimedia has no logo. lapfund.or.ke still cannot be reached: the proxy tunnel returns 502 and plain http does not resolve.
Landmark Group,done,landmark-group.png,Landmark Group,"Landmark Group, UAE",wikimedia,https://upload.wikimedia.org/wikipedia/en/e/e3/Landmark_Group_logo.png,True,False,"I enlarged the 253x78 English Wikipedia logo, so it is soft. landmarkgroup.com still returns 403."
Legatum,done,legatum.png,Legatum,"Legatum (investment group), Dubai, UAE",wikimedia,https://upload.wikimedia.org/wikipedia/en/a/a3/Legatum_Logo_Update.png,True,False,I enlarged the 316px Wikipedia logo. Its off-white background was flood-filled to white before building.
Liberia Medicines and Health Product Regulatory Authority,done,liberia-medicines-and-health-products-regulatory-authority.png,Liberia Medicines and Health Products Regulatory Authority,"Liberia Medicines and Health Products Regulatory Authority (LMHRA), Liberia",official-site,https://www.lmhra.gov.lr/new/pg_img/LOGO-LARG2.png,True,False,I enlarged the 303x120 site header logo. The small motto text in the seal is soft.
Lifera,failed,,Lifera,"Lifera, Saudi Arabia",,,False,False,"Wikipedia and Commons have no logo, and lifera.com still serves a SiteGround captcha (HTTP 202) to every request."
MB Holding Company,failed,,MB Holding,"MB Holding Company, Oman",,,False,False,The Wikipedia page has only a portrait photo and Commons has no logo. mbholdingco.com still serves a SiteGround captcha (HTTP 202).
MCI,done,mci-group.png,MCI Group,"MCI Group (events and communications agency), headquartered in Geneva, with a Dubai office",official-site,https://www.mci-group.com/app/uploads/2025/06/Logo_Site.png,False,False,"I found a black version of the stacked 'mci group' logo (the site's schema logo, 696px), so no white logo was needed."
Mabanee Company K.P.S.C,done,mabanee.png,Mabanee,"Mabanee Company K.P.S.C., Kuwait",official-site,https://www.mabanee.com/assets_web/images/mabanee_logo.png,True,False,"I enlarged the 232px bilingual logo. The white 'm' sits on the coloured building graphic, as in the original."
Majis Industrial Services,done,majis-industrial-services.png,Majis Industrial Services,"Majis Industrial Services SAOC, Sohar, Oman",official-site,https://majis.om/wp-content/uploads/2026/04/majis_logo.png,True,False,"I enlarged the 150x120 bilingual colour logo, so it is soft."
Maldives Pension Administration Office,done,maldives-pension-administration-office.png,Maldives Pension Administration Office,"Maldives Pension Administration Office, Maldives",official-site,https://www.pension.gov.mv/,False,True,"I used the inline header SVG: the symbol with the Dhivehi name, white only. It is placed on the brand navy #242d59 from the site's mask-icon. The colour version exists only as the bare symbol (180px apple-touch icon), so I used the full lockup instead."
Metro Jeddah,failed,,Metro Jeddah,"Metro Jeddah Company, Saudi Arabia",,,False,False,"The Jeddah Metro pages on English and Arabic Wikipedia have no logo, and neither does Commons. metrojeddah.com.sa no longer resolves, and mjc.sa belongs to an unrelated shop."
Mohamed Yousuf Naghi & Brothers Group,done,mohamed-yousuf-naghi-and-brothers-group.png,Mohamed Yousuf Naghi and Brothers Group,"Mohamed Yousuf Naghi and Brothers Group, Saudi Arabia",official-site,https://mynaghi.com/images/logo.png,True,False,I enlarged the 353x142 bilingual site logo.
National Association of Head Teachers,done,naht.png,NAHT,"National Association of Head Teachers (NAHT), United Kingdom",wikimedia,https://upload.wikimedia.org/wikipedia/en/a/a7/National_Association_of_Head_Teachers_logo.png,True,True,"The only available file is the 220px Wikipedia logo: white NAHT lettering on black, with the strapline. I enlarged it and kept it on black. naht.org.uk still fails TLS verification."
National Bank of Oman,done,national-bank-of-oman.png,National Bank of Oman,"National Bank of Oman (NBO), Oman",official-site,https://www.nbo.om/Style%20Library/NBO3/images/Logo.png,True,False,"I enlarged the 204x78 bilingual site header logo, which is larger than the 172px Commons GIF."
National Cash Transfer Office,done,nigeria-national-cash-transfer-office.png,National Cash Transfer Office,"National Cash Transfer Office (NCTO), Nigeria",official-site,https://ncto.gov.ng/logo.jpg,False,False,"The 1080px site logo sits on a light-grey (#f7f7f7) ground. I flood-filled that ground to white from the corners before building, so no grey box remains."
NHIA,done,nhia-nigeria.png,NHIA,"National Health Insurance Authority (NHIA), Nigeria, successor to the National Health Insurance Scheme",official-site,https://www.nhia.gov.ng/wp-content/uploads/2024/03/NHIA-logo.jpg,True,False,"I slightly enlarged the 400px site logo, which trims to about 355px."
National Library of NIG,done,national-library-of-nigeria.png,National Library of Nigeria,"National Library of Nigeria, Nigeria",official-site,https://www.nln.gov.ng/assets/img/nln_logo.png,True,False,I enlarged the 175px site logo. The small ribbon text is soft.
National Transformation Program Center,done,saudi-national-transformation-program.png,National Transformation Program,"National Transformation Program (Vision 2030 programme), Saudi Arabia",wikimedia,https://upload.wikimedia.org/wikipedia/ar/6/6a/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC_%D8%A7%D9%84%D8%AA%D8%AD%D9%88%D9%84_%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A.png,True,False,"I used the 313px logo from Arabic Wikipedia, enlarged. The lockup is Arabic only. An English or bilingual version may exist on vision2030.gov.sa, which still returns 403."
Niger Delta Development Commission (NDDC),failed,,NDDC,"Niger Delta Development Commission, Nigeria",,https://upload.wikimedia.org/wikipedia/en/c/c8/Logo-nddc.jpg,False,False,"The only Wikimedia file is 76px; enlarged, it came out blurred and illegible on a grey box, so I deleted it. nddc.gov.ng still returns 403 for its logo files (NDDCNewLogo.jpg, nddclogo.png), even with browser headers."
Nigeria Economic and Financial Crimes Commission (EFCC),done,efcc.png,EFCC,"Economic and Financial Crimes Commission, Nigeria",wikimedia,https://upload.wikimedia.org/wikipedia/commons/5/5d/EFCC_LOGO.jpg,True,False,"Enlarged from the 354px original; the logo is photographic (an eagle), and it still looks clean."
Nigeria Federal Inland Revenue Service (FIRS),failed,,FIRS,"Federal Inland Revenue Service, Nigeria (now the Nigeria Revenue Service)",,,False,False,"The last FIRS logo is not available: the FIRS Wikipedia article now redirects to NRS with no logo, there is nothing on Commons, and firs.gov.ng returns 503 or resets. The NRS logo could be used instead if Will agrees."
Nigeria Federal Road Safety Corps,done,federal-road-safety-corps.png,Federal Road Safety Corps,"Federal Road Safety Corps (FRSC), Nigeria",wikimedia,https://upload.wikimedia.org/wikipedia/en/6/66/Federal_Road_Safety_Corps_logo.png,True,False,"Enlarged from the 365x273 original. The ribbon reads 'Federal Road Safety Commission', the body's statutory name."
Nigeria Governors' Forum Secretariat,done,nigeria-governors-forum.png,Nigeria Governors' Forum,"Nigeria Governors' Forum Secretariat, Nigeria",official-site,https://nggovernorsforum.org/images/stories/joomlart/logo.png,True,False,Enlarged from the 279x96 site header logo. The logo is a green lozenge-shaped block with the crest in it.
Nigeria National Broadcasting Commission,failed,,National Broadcasting Commission,"National Broadcasting Commission, Nigeria",,,False,False,The Wikipedia article has no logo and Commons searches found none; nbc.gov.ng still serves only an 'Under Maintenance' page with no images.
Nigerian Electricity Regulatory Commission,done,nigerian-electricity-regulatory-commission.png,Nigerian Electricity Regulatory Commission,"Nigerian Electricity Regulatory Commission (NERC), Nigeria",official-site,https://nerc.gov.ng/wp-content/uploads/2024/03/nerc-logo1.png,True,False,"Enlarged from the 216x71 header lockup (seal and name). The 328px file noted last time is actually a 'reportgov.ng' graphic with the national arms, not the NERC logo."
Nigerian Export - Import bank,failed,,NEXIM Bank,"Nigerian Export-Import Bank, Nigeria",,,False,False,"The Wikipedia article has no logo and Commons has none. neximbank.com.ng returns a Cloudflare 403 for every path, even with a browser user agent, and a text fetch of the page gave no image URLs."
North Oil Company (NOC),done,north-oil-company.png,North Oil Company,"North Oil Company, Qatar (Al-Shaheen field operator)",official-site,https://www.noc.qa/-/media/NOC/Images/Home/noc-logo-color.ashx?iar=0&hash=A54991B51CDF75F57A9ECA314E20C0DC,True,False,"Enlarged from the 236x157 bilingual header logo. The logo on the North_Oil_Company Wikipedia page belongs to Iraq's North Oil Company, a different body, so I did not use it."
OPTS,done,opts.png,OPTS,"Oil Producers Trade Section (OPTS) of the Lagos Chamber of Commerce and Industry, Nigeria",official-site,https://opts-ng.com/wp-content/uploads/2024/05/optslogo-1.png,True,False,"Enlarged about 4.4x from a 182x39 original, so the edges are slightly soft but it is legible."
Octal,failed,,Octal,"Octal (PET resin maker), Oman, now part of Alpek Polyester",,,False,False,"Octal has no Wikipedia or Commons logo, and octal.com redirects to alpekpolyester.com, which shows only the Alpek Polyester logo. The parent mark is available at https://www.alpekpolyester.com/wp-content/uploads/2023/04/alpek-polyester.svg if Will wants it."
Oikocredit International,done,oikocredit.png,Oikocredit,"Oikocredit International (Oikocredit Ecumenical Development Cooperative Society U.A.), Netherlands",official-site,https://www.oikocredit.org/wp-content/uploads/2024/08/Oikocredit.svg,False,False,"The only current logo on Commons has a German tagline, so I did not use it. The site SVG downloaded directly; it is the current mark with no tagline."
Olympic Delivery Authority (ODA),done,olympic-delivery-authority.png,Olympic Delivery Authority,"Olympic Delivery Authority, United Kingdom (closed 2014)",wikimedia,https://upload.wikimedia.org/wikipedia/en/5/54/Olympic_Delivery_Authority.png,True,False,"Enlarged about 5.4x from the 133x148 original (Royal Arms, pink rule and name). It is legible, but the crest detail is soft."
Oman Airports,done,oman-airports.png,Oman Airports,"Oman Airports Management Company, Oman",official-site,https://www.omanairports.co.om/frontend/web/images/store/store-1582175835-store-1535346912-omanairports_logo_dual_rgb.png,True,False,Enlarged from the 230x67 bilingual header logo; the text stays in both Arabic and English.
APSR,failed,,APSR,"Authority for Public Services Regulation (APSR), Oman",,,False,False,"There is no Wikipedia or Commons logo. apsr.om is a StemExe/meetexe app that loads its logo from an authenticated platform API; the only site icon (stemexe-fav.png) is the platform vendor's default triangle, not APSR's mark."
Oman be'ah,done,beah.png,be'ah,"Oman Environmental Services Holding Company (be'ah), Oman",official-site,https://beah.om/documents/d/guest/colored-logo-png?download=true,True,False,"I enlarged the 223x183 full-colour bilingual logo rather than using the larger white-only files, because a colour version exists."
Oman Information Technology Authority,failed,,Information Technology Authority,"Information Technology Authority (ITA), Oman (merged into the Ministry of Transport, Communications and Information Technology)",,,False,False,"The last ITA logo could not be found: ita.gov.om still does not connect, and there is no Wikipedia article or Commons file."
Oman LNG,done,oman-lng.png,Oman LNG,"Oman LNG L.L.C., Oman",official-site,https://www.omanlng.co.om/Style%20Library/assets/images/logo.png,True,True,"The site's bilingual lockup (296x224) exists only in white, so I built it on the site's brand blue #0089cf and enlarged it. The only colour file (on Wikipedia) is the bare symbol, which the spec rules out when a lockup exists."
Oman Public Authority for Electricity and Water,failed,,Public Authority for Electricity and Water,"Public Authority for Electricity and Water (PAEW), Oman (abolished)",,,False,False,"paew.gov.om does not connect, and there is no Wikipedia or Commons logo, so the last PAEW logo could not be found."
Oman Public Authority for Social Insurance,failed,,Public Authority for Social Insurance,"Public Authority for Social Insurance (PASI), Oman (merged into the Social Protection Fund)",,,False,False,"pasi.gov.om and spf.gov.om do not connect, and there is no Wikipedia or Commons logo."
Oman Telecommunications Regulatory Authority,done,oman-tra.png,Telecommunications Regulatory Authority,"Telecommunications Regulatory Authority (TRA), Oman",official-site,https://tra.gov.om/assets/images/tra-white.png,False,False,"Despite its file name, the 400x209 tra-white.png is the blue stacked bilingual lockup on transparency, so it was built on white and did not need enlarging. It leaves out the Sultanate of Oman emblem that tra-logo.png carries."
Omani Authority for Partnership and Development,failed,,Omani Authority for Partnership and Development,"Omani Authority for Partnership and Development, Oman (defunct)",,,False,False,"oapd.gov.om does not connect, and Wikipedia and Commons have no logo."
Open Society Initiative for West Africa (OSIWA),failed,,OSIWA,"Open Society Initiative for West Africa, Senegal",,,False,False,"The Wikipedia article has no logo and Commons has none. osiwa.org redirects to the Open Society Foundations Africa page, which shows only the OSF logo. The OSF logo is the option if Will treats it as the successor."
Overseas Development Institute,failed,,ODI,"ODI Global (formerly Overseas Development Institute), United Kingdom",,https://upload.wikimedia.org/wikipedia/commons/5/5c/ODI.svg,False,False,"The Commons file ODI.svg is only the old navy 'Overseas Development Institute' roundel, not the current ODI Global mark. odi.org blocks automated requests with Cloudflare, and its og:image is a brand graphic, not a clean logo. If Will accepts the old roundel, it can be built from the Commons file."
Pakistan National Electric Power Regulatory Authority,done,nepra.png,NEPRA,"National Electric Power Regulatory Authority, Pakistan",official-site,https://nepra.org.pk/assets/img/logo.png,True,False,"Enlarged from the 300x60 site lockup (emblem and name), which I preferred to the 250px emblem-only file on Wikipedia. The emblem is small within the lockup."
Road Transport and Safety Agency Zambia,done,rtsa-zambia.png,Road Transport and Safety Agency,"Road Transport and Safety Agency (RTSA), Zambia",official-site,http://www.rtsa.org.zm/wp-content/uploads/2019/09/RTSA-Logo_final-1-1.png,True,False,Enlarged from the uncropped original of the site icon (emblem about 243x258 after trimming).
Royal College of Surgeons in Ireland (RCSI),done,rcsi.png,RCSI University of Medicine and Health Sciences,"RCSI University of Medicine and Health Sciences (Royal College of Surgeons in Ireland), Ireland",official-site,https://www.rcsi.com/assets/images/logos/logo-uni.svg,True,False,The only colour lockup is a 350x218 raster embedded in the site's header SVG. I extracted it and enlarged it. Wikimedia only had an unrelated RCSI (Russian Center for Science Information) logo.
S-Chem,failed,,S-Chem,"Saudi Specialty Chemicals / S-Chem joint venture, Saudi Arabia",,,False,False,"There is no Commons file, and s-chem.com could not be reached from here on this run (every connection was dropped, even after repeated retries), so I could not get even the small 300px header logo."
SENAAT,done,senaat.png,SENAAT,"SENAAT General Holding Corporation, UAE",official-site,https://senaat.co/sites/all/themes/zeenat/logo.png,True,False,"This is SENAAT's own bilingual logo, not ADQ's. The source is only 367x73, so it was enlarged and is slightly soft. The senaat.co site looks old, so this is probably the last logo SENAAT used."
SEPLAT,failed,,Seplat Energy,"Seplat Energy Plc, Nigeria",,,False,False,"Commons has no logo. seplatenergy.com still returns a Cloudflare 403 to curl, including for its media files. A text fetch of the page got through but showed no logo file URL, because the header logo appears to be inline."
Sahara Group,done,sahara-group.png,Sahara Group,"Sahara Group, Nigeria",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Sahara-group-logo.jpg/960px-Sahara-group-logo.jpg,False,False,"The original file still returned 429, so I used Wikimedia's 960px thumbnail. It is a JPG on white."
Sami Navantia Naval Industries,failed,,SAMI Navantia,"SAMI Navantia Naval Industries, Saudi Arabia",,,False,False,"Commons has no logo, and the proxy refuses the connection to saminavantia.com.sa (502 on CONNECT; saminavantia.com gives 403)."
Saudi Authority for the Care of Persons with Disabilities (APD),done,saudi-authority-for-persons-with-disabilities.png,Authority for the Care of Persons with Disabilities,"Authority for the Care of Persons with Disabilities (APD), Saudi Arabia",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/APD_logo.svg/1280px-APD_logo.svg.png,False,False,I confirmed this is the Saudi APD from the Arabic name in the mark and the file's category (SVG logos of Saudi Arabia). The logo is bilingual.
Saudi Council of Economic and Development Affairs (CEDA),exists,saudi-arabia-emblem.png,Council of Economic and Development Affairs,"Council of Economic and Development Affairs (CEDA), Saudi Arabia",,,False,False,"CEDA has no website of its own (ceda.gov.sa does not resolve) and I found no mark of its own on Commons or in searches, so the government coat-of-arms rule applies and the existing Saudi emblem is used."
Saudi General Authority for Competition (GAC),done,saudi-general-authority-for-competition.png,General Authority for Competition,"General Authority for Competition (GAC), Saudi Arabia",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/General_Authority_of_Competition_Logo.svg/1280px-General_Authority_of_Competition_Logo.svg.png,False,False,"The original SVG still returned 429, so I used Wikimedia's 1280px PNG render of it. The logo is bilingual."
Saudi Ports Development Company,exists,king-abdullah-port.png,King Abdullah Port,"Ports Development Company (PDC), Saudi Arabia, the developer, owner and operator of King Abdullah Port",,https://www.kingabdullahport.com.sa/ports-development-company/,False,False,"PDC presents itself under the King Abdullah Port brand and has no logo of its own. king-abdullah-port.png is already in out/logos from another batch, so I reused it. Please confirm the client was PDC and not Mawani (the Saudi Ports Authority, a separate body)."
Saudi Technology Development and Investment Company (TAQNIA),done,taqnia.png,TAQNIA,"Saudi Technology Development and Investment Company (TAQNIA), Saudi Arabia",official-site,https://storage.googleapis.com/production-domaincom-v1-0-7/157/1736157/F9S29ZOh/695b56cb5d484d51904abe6835b844a7,False,False,"The logo is the header image on taqnia.com, which is now a minimal holding page (Riyadh address, copyright 2025 Taqnia). The file is 600x266 and bilingual."
Saudi Tourism Development Fund (TDF),done,saudi-tourism-development-fund.png,Tourism Development Fund,"Tourism Development Fund (TDF), Saudi Arabia",official-site,https://ndf.gov.sa/assets/funds-logos/TDF%20logo.svg,False,False,"tdf.gov.sa is unreachable from here, so the SVG comes from TDF's page on the website of its parent, the National Development Fund (ndf.gov.sa). The logo is bilingual."
Serbia Anti-Corruption Agency,failed,,Agency for the Prevention of Corruption,"Agency for the Prevention of Corruption (ACAS), Serbia",,,False,False,"acas.rs drops every connection from here, and a text fetch returned no image URLs. Commons searches in English and Serbian Cyrillic found no logo."
Seychelles Civil Aviation Authority (SCAA),failed,,Seychelles Civil Aviation Authority,"Seychelles Civil Aviation Authority (SCAA), Seychelles",,,False,False,"The logo is at https://www.scaa.sc/images/scaa-logo-blue.png, but the site returns a SiteGround captcha challenge for every file, including that image, and Commons has no logo."
Shams Power Company,failed,,Shams Power Company,"Shams Power Company PJSC, UAE (Masdar solar joint venture)",,,False,False,"The proxy refuses the connection to shamspower.ae, and Commons has only a photo of the plant. If Will prefers the parent's logo, masdar.png is already in the library."
Sharjah Investment and Development Authority (Shurooq),done,shurooq.png,Shurooq,"Sharjah Investment and Development Authority (Shurooq), UAE",official-site,https://cms.shurooq.gov.ae/uploads/Shurooq_Logo_675ede0e4d.jpeg,False,False,"The main site is behind a Sucuri JavaScript challenge, but its content server (cms.shurooq.gov.ae) serves the official 1500px bilingual logo, which the homepage references."
Sierra Leone National Revenue Authority,failed,,National Revenue Authority,"National Revenue Authority, Sierra Leone",,,False,False,"nra.gov.sl dropped every connection on this run, even after repeated retries with long timeouts, so I could not get the 228px logo even with enlarging now allowed. Commons has no logo."
Sohar Port and Freezone,done,sohar-port-and-freezone.png,SOHAR Port and Freezone,"SOHAR Port and Freezone (Sohar Industrial Port Company), Oman",official-site,https://soharportandfreezone.om/wp-content/uploads/2024/12/sohar-logo.png,True,False,"The only colour version is the 147x27 header logo, enlarged about 5x, so it is soft but legible. The site also has a sharper 761px version, but it is white, so I did not use it."
Solidaridad,done,solidaridad.png,Solidaridad,"Solidaridad Network, Netherlands",official-site,https://www.solidaridadnetwork.org/wp-content/uploads/2021/04/Logo-full-colour-_Solidaridad.png,False,False,"I found a full-colour 6836px version in the site's media library, so no white logo or enlarging was needed."
Soros Foundation-Kazakhstan,failed,,Soros Foundation-Kazakhstan,"Soros Foundation-Kazakhstan, Kazakhstan",,,False,False,"The soros.kz TLS certificate is still expired, so the site cannot be fetched safely, and Commons has no logo."
Takaful Emarat,done,takaful-emarat.png,Takaful Emarat,"Takaful Emarat Insurance PSC, UAE",official-site,https://takafulemarat.com/wp-content/uploads/2025/08/Takaful-Emarat-logo.png,True,False,"This is the current purple wordmark from the site header. The source is only 180x73, so it was enlarged and is slightly soft."
Takamol Holding,done,takamol-holding.png,Takamol,"Takamol Holding, Saudi Arabia",official-site,https://api.takamolholding.com/uploads/takamol_logo_047255c86f.svg,False,True,"The only logo is a white bilingual SVG, which is also the site's og:image. It is placed on the site's primary brand colour, #5a5cff (--brand in the site CSS)."
Tasnee,failed,,Tasnee,"National Industrialization Company (Tasnee), Saudi Arabia",,,False,False,"tasnee.com drops every connection from here, and a text fetch failed on its TLS certificate. Commons has only an unrelated photo (TASNEE 001.jpg)."
Tatweer Education Holding Company,done,tatweer-education-holding.png,Tatweer Education Holding,"Tatweer Education Holding Company, Saudi Arabia",official-site,https://s3.tatweertransit.com/uploads/tatweer_logo.png,False,True,This is the header image in www.tatweer.sa's own code: a white Tatweer lockup on a navy tab with subsidiary logos below. I took only the white bilingual lockup (no subsidiaries) and placed it on the same navy (#19355c).
Tawal,failed,,Tawal,"Tawal (Telecommunication Towers Company), Saudi Arabia",,,False,False,"tawal.com.sa drops every connection from here, and a text fetch failed on its TLS certificate. Commons has no Tawal logo."
Tawazun,done,tawazun-council.png,Tawazun Council,"Tawazun Council for Defence Enablement, UAE",official-site,https://www.tawazun.gov.ae/wp-content/uploads/2025/05/tc_logo2025_colored.png,False,False,"I found a full-colour 2025 version in the site's media library, so the white header logo was not needed. The lockup includes the UAE emblem, as the official mark does."
