match_name,decision,note
Kenya Roads Board,source,
Kenya Vision 2030 Delivery Secretariat,source,
Key Partners Group,no logo: individual or small local firm,
Kforum,no logo: individual or small local firm,
Khalifa Bin Zayed Al Awal School (KBZA),no logo: individual or small local firm,
Khushhalibank,no logo: Will unticked,Pakistani microfinance bank
Kids company,no logo: brand no longer trades,closed 2015
King Abdullah Port,source,
King Fahad Specialist Hospital,source,
King Fahd University of Petroleum and Minerals,source,
King Faisal Foundation,source,
King Faisal Medical City,source,
King Khalid Foundation,source,
Kingdom Holding Company KSA,source,
Kingvor Services,no logo: individual or small local firm,
Kinondoni Municipal Council,no logo: individual or small local firm,
Kisii County Government,no logo: Will unticked,Kenyan county
Knowledge Pool,no logo: individual or small local firm,
Kode Shop Alicante 2004,no logo: individual or small local firm,
Kommunikationsforum,no logo: individual or small local firm,
Kraft,source,"Kraft Heinz or Mondelez, unclear; Will ticked 24 Sep 2026"
Kristina Fidelskaya FZ,no logo: individual or small local firm,
Kudelski Group,source,
Kuehne + Nagel Eastern Europe,source,
Kuwait Anti-Corruption Authority,source,
Kuwait Capital Market Authority,source,
Kuwait Energy Company,source,"Kuwait oil company, bought by UEG; Will ticked 24 Sep 2026"
Kuwait Foundation for the Advancement of Sciences (KFAS),source,
Kuwait International Bank,source,
Kuwait National Fund for Small and Medium Enterprise Development,source,
Kuwait Small Projects Development Company,no logo: individual or small local firm,
Kuźnia PR,no logo: individual or small local firm,
L&T Electrical & Automation,no logo: brand no longer trades,bought by Schneider Electric
LADOL,no logo: Will unticked,Lagos logistics base
LAPFUND,source,
LEKOIL,source,Nigerian oil company; Will ticked 24 Sep 2026
LEO Pharma,source,
LGT Vestra,no logo: Will unticked,now LGT Wealth Management
Ladi Ajose-Adeogun & Co.,no logo: individual or small local firm,
Lagos State Wastewater Management Office,no logo: individual or small local firm,
Landmark Group,source,
Landmark PR & Events,no logo: individual or small local firm,
Laureate Vocational Saudi Arabia,no logo: individual or small local firm,
Law Business Research,no logo: Will unticked,UK legal publisher
Lead Contracting & Trading,no logo: individual or small local firm,
Legal Services Board,source,
Legatum,source,
Lex Data Consulting,no logo: individual or small local firm,
Liberia Medicines and Health Product Regulatory Authority,source,
Libya National Oil Corporation,source,
Lifera,source,
Lightblue,no logo: individual or small local firm,
Limpopo Econmic Development agency,no logo: Will unticked,South African provincial agency
Litmus MR,no logo: individual or small local firm,
Lockton,source,
London Business School,source,
Louvre Hotels Group,source,
LuLu Center,source,LuLu Group
Luxury Tour Travel and Tourism,no logo: individual or small local firm,
Lygature,no logo: Will unticked,Dutch health research body
MAN,alias added,man.png
MB Holding Company,source,Oman oil and mining group; Will ticked 24 Sep 2026
MBNL,no logo: Will unticked,UK mobile network joint venture
MCG,no logo: individual or small local firm,
MCI,source,
MCS Holding,no logo: Will unticked,Mongolian group
MCT FZE Chaloub Group,source,Chalhoub Group
MCTS Chabowski Consultants,no logo: individual or small local firm,
MDZ Swiss Dentaprime,no logo: individual or small local firm,
MEBS International,no logo: individual or small local firm,
MEC,no logo: brand no longer trades,merged into Wavemaker
MENA Energy,no logo: individual or small local firm,
MHPS Europe,alias added,mitsubishi.png
MISC Berhad,source,
MMG Eventz FZ,no logo: individual or small local firm,
MOLSAMD,no logo: Will unticked,same ministry as above
MOPA,no logo: Will unticked,"Mozambique, name unclear"
MPR Public Relations and Marketing Communications Consultancy,no logo: individual or small local firm,
MRS Oil & Gas,source,Nigerian oil company; Will ticked 24 Sep 2026
MS & RYB,no logo: individual or small local firm,
MV Consulting,no logo: individual or small local firm,
Mabanee Company K.P.S.C,source,
MacPaw,source,
Maersk,source,Maersk
Maestro Capital,no logo: individual or small local firm,
Magilatech Middle East,no logo: individual or small local firm,
Maha AlMezaina,no logo: individual or small local firm,
Maitland Central Services,source,Isle of Man fiduciary firm; Will ticked 24 Sep 2026
Majis Industrial Services,source,Sohar water company; Will ticked 24 Sep 2026
Makib Ventures Consulting,no logo: individual or small local firm,
Maldives Pension Administration Office,source,
Management Sciences for Health,source,
Manchester Mental Health and Social Care Trust,no logo: Will unticked,"NHS trust, since merged"
ManpowerGroup Middle East,source,ManpowerGroup
Mar ITC,no logo: individual or small local firm,
Marianne Rees-Hawkins,no logo: individual or small local firm,
Marigot,no logo: individual or small local firm,
Marine Core & Charter,no logo: individual or small local firm,
Maritime Boundary Office,no logo: Will unticked,Timor-Leste government office
Maritime Construction Services,no logo: individual or small local firm,
Mashael Abdullah AlRezouq,no logo: individual or small local firm,
McAndrews,no logo: individual or small local firm,
Media Circle,no logo: individual or small local firm,
MediaQuest,source,UAE media group; Will ticked 24 Sep 2026
Mediacraft Associates,no logo: individual or small local firm,
Medicines for Malaria Venture,source,
Meirc Training and Consulting,source,
Meraas,source,Dubai Holding unit: own logo or Dubai Holding?; Will ticked 24 Sep 2026
Mercator,source,"UAE, which firm is unclear; Will ticked 24 Sep 2026"
Mercedes-Benz,alias added,"mercedes-benz-daimler.png, mercedes-benz-star.png"
Merchant Navy Pensions Administration (MNPA),no logo: individual or small local firm,
Mercieca,no logo: individual or small local firm,
Meshbak,no logo: individual or small local firm,
Metro Jeddah,source,Jeddah metro company; Will ticked 24 Sep 2026
Micronesia Petroleum Corporation,no logo: individual or small local firm,
Microtel,no logo: individual or small local firm,
Middle East Glass Manufacturing Company S.A.E,no logo: individual or small local firm,
Middle East Public Relations Association (MEPRA),source,
Midwestern Oil and Gas Company,no logo: individual or small local firm,
Ministry of Finance and Economic Development for Hirshabelle State of Somalia,no logo: individual or small local firm,
Mishkat Interactive Center,no logo: individual or small local firm,
Misk Foundation,source,
Mobitrans,no logo: individual or small local firm,
Mohamed Suhail Al Muharrami,no logo: individual or small local firm,
Mohamed Yousuf Naghi & Brothers Group,source,Saudi trading group; Will ticked 24 Sep 2026
MonaLuxe,no logo: individual or small local firm,
Morningstar UK,source,
Mozal,source,"parent South32 (Will: parent logo, 24 Sep 2026)"
Mphanda Nkuwa Hydroelectric Project Implementation Office,no logo: individual or small local firm,
Mrs. Ilona Kenkadze,no logo: individual or small local firm,
Msc Marcks International,no logo: individual or small local firm,
Multiply Marketing Consultancy,no logo: individual or small local firm,
Muscat National Development and Investment Company,source,Oman investment company; Will ticked 24 Sep 2026
Muscular Dystrophy UK,source,
Mya Consulting,no logo: individual or small local firm,
N1,no logo: individual or small local firm,
NBK Capital,source,parent National Bank of Kuwait
NBS Communications,no logo: individual or small local firm,
NCAS,source,"UK, which body is unclear; Will ticked 24 Sep 2026"
NCB Capital,alias added,snb.png
NCRIB,no logo: individual or small local firm,
NEOM,source,
NEPL/FHN JV OML 26 AMT,no logo: individual or small local firm,
NEREUS,no logo: individual or small local firm,
NESA,no logo: Will unticked,"NESA Center or schools council, unclear"
NIFOR,no logo: individual or small local firm,
NIRSAL,source,
NIS,source,
NRS International,source,relief supplies firm; Will ticked 24 Sep 2026
NRS Relief,no logo: individual or small local firm,
NUPCO,source,
NYU,alias added,nyu.png
Nahj Al Amal Training Center,no logo: individual or small local firm,
Nairobi Ministry of Metropolitan Development,source,"Kenyan ministry, since abolished; Will ticked 24 Sep 2026"
Nasser Salem Al Nahdi,no logo: individual or small local firm,
Nation Media Group,source,
National Assembly of Wales,source,current mark Senedd
National Association of Head Teachers,source,
National Bank of Abu Dhabi,source,successor First Abu Dhabi Bank
National Bank of Bahrain,source,
National Bank of Kuwait,source,
National Bank of Oman,source,
National Bank of Rwanda,source,
National Cash Transfer Office,source,Nigerian government office; Will ticked 24 Sep 2026
National Central Cooling Company,alias added,tabreed.png
National Drilling Company,alias added,adnoc.png
National Health Insurance Scheme,source,current mark NHIA
National Housing Federation,source,
National Library of NIG,source,
National Marine Dredging Company,source,
National Microfinance Bank,source,
National Network Communications,no logo: individual or small local firm,
National Nutrition Agency (NaNa),no logo: Will unticked,Gambia government agency
National Paper Products Company,no logo: individual or small local firm,
National Petroleum Institute of Mozambique (INP),source,
National Power Training Institue of Nigeria (NAPTIN),no logo: Will unticked,Nigerian government institute
National Rehabilitation Centre,no logo: Will unticked,Abu Dhabi rehab centre
National Social Security and Insurance Trust,alias added,ssnit.png
National Transformation Program Center,source,
National Union of Students,source,
National Water Company,source,
NautaDutilh,source,
Navitas,source,
"Nazlee Tayob, Mina Seyahi Complex",no logo: individual or small local firm,
Neconde Energy,no logo: individual or small local firm,
Nemetschek OOD,source,Nemetschek
Neuroimage Group,no logo: individual or small local firm,
New Age Media Romania,no logo: individual or small local firm,
NewsMast,no logo: individual or small local firm,
Niger Delta Development Commission (NDDC),source,
Niger State Rural Access and Mobility Project,no logo: individual or small local firm,
Nigeria Bulk Electricity Trading,no logo: Will unticked,Nigerian government company
Nigeria Deposit Insurance Corporation (NDIC),source,
Nigeria Economic and Financial Crimes Commission (EFCC),source,
Nigeria Federal Inland Revenue Service (FIRS),source,
Nigeria Federal Road Safety Corps,source,
Nigeria Federal University of Technology,no logo: Will unticked,campus not named
Nigeria Governors' Forum Secretariat,source,
Nigeria Independent National Electoral Commission (INEC),source,
Nigeria Industrial Training Fund (ITF),source,
Nigeria National Agency for the Control of AIDS (NACA),source,
Nigeria National Broadcasting Commission,source,
Nigeria Office of Accountant General of The Federation,source,
Nigeria Office of the Head of Civil Service of the Federation,source,
Nigeria Oil Producers Trade Section (OPTS),source,same body as OPTS; Will ticked 24 Sep 2026
Nigerian British Alliance on Mentorship (IMC-NMP),no logo: individual or small local firm,
Nigerian Electricity Regulatory Commission,source,
Nigerian Export - Import bank,source,
Ninestiles Academy Trust,no logo: individual or small local firm,
Noble Trading,no logo: individual or small local firm,
North East Recovery and Stability Program,no logo: individual or small local firm,
North Oil Company (NOC),source,
Novartis,source,
Now Training,no logo: individual or small local firm,
Nuqtah,no logo: individual or small local firm,
Nyema Ndu-iheme,no logo: individual or small local firm,
Nyonmo fee multimedia,no logo: individual or small local firm,
OLX Group,source,
OMV Middle East & Africa,source,OMV
OOCEP,alias added,oq.png
OPTS,source,Nigeria Oil Producers Trade Section; Will ticked 24 Sep 2026
OSN,source,
Oando,source,
Oceana Gulf Contracting,no logo: individual or small local firm,
Octal,source,
Octopus Investments,source,
Office for Criminal Justice Reform,no logo: brand no longer trades,"UK body, closed"
"Office of HRH Prince Ali Bin Al Hussein, FIFA Vice President",no logo: individual or small local firm,
Oikocredit International,source,
Okavango Research Institute,no logo: Will unticked,University of Botswana unit
Oldendorff,alias added,oldendorff.png
Olive,no logo: individual or small local firm,
Olympic Delivery Authority (ODA),source,"Will overrode retired-brand rule, 24 Sep 2026"
Oman Airports,source,
Oman Authority for Electricity Regulation,source,current mark APSR
Oman Environmental Services Holding Company,source,Oman be'ah
Oman Environmental Services Holding Company (be'ah),source,Oman be'ah
Oman Gas Company,alias added,oq.png
Oman Information Technology Authority,source,merged into an Oman ministry; Will ticked 24 Sep 2026
Oman Insurance Company,source,current mark Sukoon
Oman International Development & Investment Co (Ominvest),source,
Oman International Maritime College,no logo: Will unticked,Oman college
Oman LNG,source,
Oman National Security Service Group (NSSG),source,Oman security body; Will ticked 24 Sep 2026
Oman Public Authority for Electricity and Water,source,abolished Oman body; Will ticked 24 Sep 2026
Oman Public Authority for Social Insurance,source,merged into Oman Social Protection Fund; Will ticked 24 Sep 2026
Oman Telecommunications Regulatory Authority,source,
Oman Tourism Development Co (OMRAN),source,
Omani Authority for Partnership and Development,source,
Omnix Pharma,no logo: individual or small local firm,
OnTime Group,no logo: individual or small local firm,
Ooredoo,source,
Open Society Initiative for West Africa (OSIWA),source,
Optimum Consult Nigeria,no logo: individual or small local firm,
Orascom Telecom,no logo: brand no longer trades,absorbed into VEON
Organisation for Economic Co-operation and Development,source,
Orient Insurance,alias added,al-futtaim.png
Oriental Energy Resources,no logo: individual or small local firm,
Originel,no logo: individual or small local firm,
Osborne,no logo: Will unticked,UK construction firm
Osool Asset Management,no logo: individual or small local firm,
Osun Rural Access and Mobility Project,no logo: individual or small local firm,
Overseas Development Institute,source,
Oxford International AQA Examinations,source,OxfordAQA
Oxygen Entertainment,no logo: individual or small local firm,
PA Resources,no logo: brand no longer trades,wound up
PANTA RAY,no logo: individual or small local firm,
PCNI,source,"Nigeria, name unclear; Will ticked 24 Sep 2026"
PEN International,source,
PH Communications,no logo: individual or small local firm,
PKR Technologies,no logo: individual or small local firm,
PNY Trainings,no logo: individual or small local firm,
PR Action,no logo: individual or small local firm,
PR Africa International,no logo: individual or small local firm,
PRCO,no logo: Will unticked,PR agency
PSG Communications,no logo: individual or small local firm,
Pacific Prime,no logo: Will unticked,insurance broker
Pakistan National Electric Power Regulatory Authority,source,
Palestine Investment Fund,source,
Palestine Monetary Authority,source,
Palma Hospitality Group,no logo: individual or small local firm,
Particip,no logo: Will unticked,German development consultancy
Passion for Life Healthcare,no logo: individual or small local firm,
Paula's Choice,source,
Peace Brigades International,source,
Pears National Centre for Autism Education,no logo: individual or small local firm,
Pepper Communication,no logo: individual or small local firm,
Permanent Representation of Latvia to the EU,source,Latvia government; Will ticked 24 Sep 2026
Personio HR Operating System,source,
Personnel Recruitment Center Career-Holdings,no logo: individual or small local firm,
Petony Technical Company,no logo: individual or small local firm,
Petro Rabigh,source,
Petrochad (ExxonMobil/Esso),source,"Chad oil: Esso logo, ExxonMobil logo or none?; Will ticked 24 Sep 2026"
Petroleum Products Pricing Regulatory Agency (PPPRA),no logo: Will unticked,merged into NMDPRA
Petroleum Technology Development Fund,source,
Philippines Department of Finance,source,
PhosphonicS,no logo: individual or small local firm,
Pilgrims Group,no logo: Will unticked,UK security firm
Place Communications FZ,no logo: individual or small local firm,
Polycor,no logo: Will unticked,Canadian stone quarrier
Port of Fujairah,source,
Power Lab Pro Bulgaria,no logo: individual or small local firm,
Premier Oil Pakistan Holdings,no logo: brand no longer trades,"Premier Oil, now Harbour Energy"
Preqin,source,
Presidential Committee On North-East Initiative,no logo: individual or small local firm,
Priory Group,source,
Professional Sports Group,no logo: individual or small local firm,
Prudentia Technology Solutions India Private,no logo: individual or small local firm,
Punjab Education Sector Programme II (PESP2),no logo: individual or small local firm,
PurpleKube,no logo: individual or small local firm,
QA,source,
Qatar Airways,source,
Qatar Defence Attaché,source,Qatari armed forces office; Will ticked 24 Sep 2026
Qatar Fertiliser Company (QAFCO),alias added,"qatarenergy.png (Will: parent logo, 24 Sep 2026)"
Qatar Islamic Bank Sudan,source,parent QIB
Qatar Stars League (QSL),source,
Qatargas,alias added,qatarenergy.png
Qiddiya,source,
Qsoft Holding,no logo: individual or small local firm,
Quandoo,source,restaurant booking platform; Will ticked 24 Sep 2026
Queen Rania Foundation,source,
Qurain Petrochemical Industries Company,no logo: Will unticked,Kuwait petrochemicals
Qurum Business Group,no logo: individual or small local firm,
RAK Gas,source,Ras Al Khaimah gas company; Will ticked 24 Sep 2026
RAK Hospitality Holding,no logo: Will unticked,Ras Al Khaimah hotel owner
RAPIDE,no logo: individual or small local firm,
REPOA,no logo: Will unticked,Tanzanian think tank
RINGANA,no logo: Will unticked,Austrian cosmetics brand
RMN Consultants,no logo: individual or small local firm,
RNOH NHS Trust,no logo: Will unticked,NHS trust
RSPB,source,
Rabdan Academy,source,
Radioactive PR,no logo: individual or small local firm,
Rana Faqihi,no logo: individual or small local firm,
Rank Metal Group Bangkok,no logo: individual or small local firm,
Rashid Centre for Diabetes and Research,no logo: Will unticked,Ajman health centre
Rauf Textile and Printing Mills Pakistan,no logo: individual or small local firm,
Ravengokz International Enterprises,no logo: individual or small local firm,
Red Kite Community Housing,no logo: individual or small local firm,
Red Sea Gateway,source,
Reed in Partnership,source,Reed
Relativity,source,
Relyt International Afghanistan,no logo: individual or small local firm,
Remark Research and Marketing Consulting,no logo: individual or small local firm,
Rendeavour,no logo: Will unticked,African new-cities developer
Renée Mair,no logo: individual or small local firm,
ReputationInc,source,UK reputation consultancy; Will ticked 24 Sep 2026
Research & Branding Group,no logo: individual or small local firm,
Right to Play UK,source,
Rivers State House of Assembly,no logo: individual or small local firm,
Riyadh Central Ar Development Company (CADC),source,same company as above; Will ticked 24 Sep 2026
Riyadh Valley Company,source,PIF venture fund; Will ticked 24 Sep 2026
Road Maintenance Fund Administration,no logo: Will unticked,Sierra Leone government fund
Road Transport and Safety Agency Zambia,source,
Robert Bird Group,source,
Rockwell Collins International Inc.-Dubai,no logo: brand no longer trades,now Collins Aerospace
Romanian Petroleum Exploration and Production Companies Association (ROPEPCA),no logo: Will unticked,trade body
Rona Destina Bilgiç Tveit,no logo: individual or small local firm,
Rotopak,no logo: individual or small local firm,
Royal Catering,no logo: individual or small local firm,
Royal College of Surgeons in Ireland (RCSI),source,
Royal Hospital Chelsea (RHC),source,
Royal National Lifeboat Institution (RNLI),source,
Rwanda Events Group,no logo: individual or small local firm,
Rwanda Ministry of Natural Resources,source,now Ministry of Environment; Will ticked 24 Sep 2026
S & A Produce (UK),no logo: individual or small local firm,
S-Chem,source,Saudi chemical joint venture; Will ticked 24 Sep 2026
S.C. Island Fest,no logo: individual or small local firm,
S.C. Web Ventures,no logo: individual or small local firm,
S.T.O.K.,no logo: individual or small local firm,
SACE,source,
SAE Institute,source,
SAHCOL,no logo: Will unticked,Nigerian ground handler
SAM Electromechanical Company,no logo: individual or small local firm,
SC. Dedeman,source,
SEDCO Holding,source,Saudi family holding company; Will ticked 24 Sep 2026
SEEN Group,no logo: individual or small local firm,
SEMINARIUM Capital Humano S.A. De C.V.,no logo: individual or small local firm,
SENAAT,source,ADQ industrial arm: own logo or ADQ?; Will ticked 24 Sep 2026
SEPLAT,source,
SFM,no logo: individual or small local firm,
SNC-Lavalin,source,current mark AtkinsRéalis
SNIWW Events & Consulting,no logo: individual or small local firm,
SOCAR,source,
SOS Children's Village International,source,
SOS Children's Villages Gulf Area Office,source,SOS Children's Villages
SPI Pharma,no logo: Will unticked,US excipients maker
SPT training orgnaztion and freelance,no logo: individual or small local firm,
SRAK,no logo: individual or small local firm,
STMicroelectronics,source,
SWIFT,source,
Sahara Group,source,
Saint-Gobain,source,
Saipem,source,
Salam World,no logo: individual or small local firm,
Salterbaxter,no logo: Will unticked,UK sustainability agency
Sami Akeel Advertising Agency,no logo: individual or small local firm,
Sami Navantia Naval Industries,source,
Sampa,no logo: individual or small local firm,
Sandvine,source,
Saray Capital (DIFC),no logo: individual or small local firm,
Saudi Agricultural and Livestock Investment,source,
Saudi Arabia Cultural Bureau,source,Saudi cultural office abroad; Will ticked 24 Sep 2026
Saudi Arabian Insurance Co. BSC Dubai branch,no logo: individual or small local firm,
Saudi Authority for the Care of Persons with Disabilities (APD),source,
Saudi British Bank,source,current mark SAB
Saudi Council of Economic and Development Affairs (CEDA),source,
Saudi Development and Training Co. (SDT),no logo: individual or small local firm,
Saudi Electricity Regulatory Authority (SERA),source,
Saudi General Authority for Competition (GAC),source,
Saudi Ground Services,source,
Saudi Job Creation Commission,no logo: Will unticked,"Saudi body, since merged"
Saudi Ministry of Communications and Information Technology (MCIT),source,
Saudi Ministry of Education,source,
Saudi Ports Development Company,source,Saudi ports company; Will ticked 24 Sep 2026
Saudi Small and Medium Enterprises General Authority (Monsha'at),source,
Saudi Technology Development and Investment Company (TAQNIA),source,
Saudi Tourism Development Fund (TDF),source,
Schenker,no logo: Will unticked,"DB Schenker, being rebranded DSV after the 2025 takeover"
Seafox,no logo: Will unticked,offshore accommodation firm
Seaways International,no logo: individual or small local firm,
Secretariat of the Latvian Presidency of the Council of the European Union,no logo: brand no longer trades,temporary body
Seddiqi Holding,source,"parent of Ahmed Seddiqi: its own logo, or the Ahmed Seddiqi logo already in the library?; Will ticked 24 Sep 2026"
Seize Institute of Consulting and Business Solutions,no logo: individual or small local firm,
Serbia Anti-Corruption Agency,source,
Serimax,no logo: Will unticked,pipeline welding firm
Seychelles Civil Aviation Authority (SCAA),source,
Seychelles Tourism Board,source,
Shahad AlMahboob,no logo: individual or small local firm,
Shaikha Mozah Al Maktoum,no logo: individual or small local firm,
Shams Power Company,source,Masdar solar joint venture: own logo or Masdar?; Will ticked 24 Sep 2026
Shanti Bhavan Children's Project,no logo: individual or small local firm,
Sharjah Capability Development (Tatweer),source,Sharjah body; Will ticked 24 Sep 2026
Sharjah Investment and Development Authority (Shurooq),source,
Sharjah Ladies Club,no logo: Will unticked,Sharjah club
Sheikh Saud bin Saqr Al Qasimi Foundation for Policy Research,source,RAK policy foundation; Will ticked 24 Sep 2026
Sheikha Iman M Al-Sabah,no logo: individual or small local firm,
Sierra Leone Institute of International Law,no logo: individual or small local firm,
Sierra Leone National Revenue Authority,source,
Silicom,no logo: individual or small local firm,
Simulia Communications,no logo: individual or small local firm,
Size chunk Resources,no logo: individual or small local firm,
Skyway Aviation Handling Company,source,Nigerian ground handler (SAHCO); Will ticked 24 Sep 2026
Slovenia Government,source,
Smartenergygb,source,
Smarttys Management,no logo: individual or small local firm,
Smartworld,no logo: Will unticked,UAE IT firm
Smidts & Partners,no logo: individual or small local firm,
Sohar Industrial Port Company,source,Sohar Port and Freezone
Sohar Port and Freezone,source,
Solidaridad,source,
Solutions Leisure,no logo: individual or small local firm,
Sondos AlJazairy,no logo: individual or small local firm,
Soros Foundation-Kazakhstan,source,Open Society foundation; Will ticked 24 Sep 2026
Soul Communications PR,no logo: individual or small local firm,
Soulcomms,no logo: individual or small local firm,
South Africa PPP Unit/National Treasury,source,National Treasury
South East England Development Agency (SEEDA),no logo: brand no longer trades,abolished 2012
Soya Group Support,no logo: individual or small local firm,
Specialist Prosecutor's Office,source,Kosovo specialist court prosecutor; Will ticked 24 Sep 2026
Splash fm 105.5,no logo: individual or small local firm,
Spot Buy Center,no logo: individual or small local firm,
Standard Events,no logo: individual or small local firm,
Standard Media Group Kenya,source,
Standards Council of Canada (SCC),source,
Standing Conference of Towns and Municipalities,no logo: Will unticked,Serbia local government body
StardustConcept Design Services,no logo: individual or small local firm,
Stars of Science TV Show,source,
Start,no logo: individual or small local firm,
Starwood Hotels and Resorts,no logo: brand no longer trades,bought by Marriott
State Trading Organisation,source,
Sterling Bank,source,
Stevanato Group,source,
Strategic Gears,no logo: Will unticked,Saudi consultancy
Strategico FZ,no logo: individual or small local firm,
Suez Canal Container Terminal,source,parent APM Terminals
Suliman Abdulaziz AlRajhi Real Estate Investments,no logo: individual or small local firm,
Sunbird Group,no logo: individual or small local firm,
Suprema Securities,no logo: individual or small local firm,
Sure IT Recruitment,no logo: individual or small local firm,
Swedish Trade Council,source,successor Business Sweden
Swiss Embassy Uzbekistan,source,Switzerland government; Will ticked 24 Sep 2026
SwissCore,no logo: Will unticked,Swiss research office in Brussels
Switzerland Water Supply and Sanitation Collaborative Council (WSSCC),no logo: Will unticked,now Sanitation and Hygiene Fund
TDF Architects,no logo: individual or small local firm,
TDIC,source,same company as above; Will ticked 24 Sep 2026
TFB Consulting,no logo: individual or small local firm,
TGP International,no logo: individual or small local firm,
TGT Diagnostics,no logo: individual or small local firm,
TGT Oilfield Services,no logo: Will unticked,well diagnostics firm
TIG Communications,no logo: individual or small local firm,
TOH PR,no logo: individual or small local firm,
TOLO News,source,
TOPdesk,source,
TPI Enterprises,no logo: Will unticked,Australian pharmaceutical raw materials firm
TPP,no logo: Will unticked,"UK, which firm is unclear"
TT2,no logo: Will unticked,Tyne Tunnels operator
TTTech Auto Iberia,source,Austrian car software firm; Will ticked 24 Sep 2026
TY Danjuma Family Office,no logo: individual or small local firm,
Tahakom,source,
Takaful Emarat,source,UAE insurer; Will ticked 24 Sep 2026
Takamol Holding,source,
Takatuf Oman,source,
Tamkeen Abu Dhabi,source,"Abu Dhabi, which Tamkeen is unclear; Will ticked 24 Sep 2026"
Tamkeen Bahrain,source,
Tanmeyah Consulting Group,no logo: individual or small local firm,
Tanzania EWURA Consumer Consultative Council,no logo: individual or small local firm,
Tanzania National Parks,source,
Tanzania President's Office,source,Tanzania government; Will ticked 24 Sep 2026
Tashkeel,source,
Tasnee,source,
Tasweeq,no logo: Will unticked,"Qatar marketing company, merged into QatarEnergy"
Tatweer Education Holding Company,source,
Tawal,source,
Tawazun,source,
Tawuniya,source,
Technical Centre for Agricultural and Rural Cooperation (CTA),no logo: brand no longer trades,closed 2020
Telefónica Ireland,no logo: brand no longer trades,bought by Three
Tellurian Services,no logo: individual or small local firm,
Tema Oil Refinery (TOR),source,
Texas A&M University at Qatar,source,Texas A&M
The Address Dubai Marina,alias added,emaar-hospitality.png
The African Academy of Sciences,source,
The America for Bulgaria Foundation,no logo: Will unticked,US-Bulgarian foundation
The American International School of Muscat (TAISM),source,school; Will ticked 24 Sep 2026
The Association of Business Executives,source,UK awarding body; Will ticked 24 Sep 2026
The Bank of Sierra Leone,source,
The Benefit Company,source,Bahrain payments company; Will ticked 24 Sep 2026
The Brand Union,no logo: brand no longer trades,"merged into Superunion, now Design Bridge and Partners"
The Cavalry Collective,no logo: individual or small local firm,
The Center of Waste Management,source,current mark Tadweer
The Climate Group,source,
The Communication Group,no logo: individual or small local firm,
The Duke of Edinburgh's International Award Foundation,source,
The Executive Office of HH Sheikh Mohammed (TEO),source,
The Fishmongers' Company,source,
"The Galleria, Al Maryah Island",source,
The Investment Climate Facility for Africa,no logo: individual or small local firm,
The Microfinance Support Centre,no logo: individual or small local firm,
The Netherlands Nutrition Centre,source,Dutch public body; Will ticked 24 Sep 2026
The Petroleum Institute,alias added,khalifa-university.png
The Redeemed Christian Church of God (RCCG),no logo: Will unticked,Nigerian church
The University of the West Indies Trinidad and Tobago,source,
Tigerspike,no logo: Will unticked,digital agency
Tomkins,no logo: brand no longer trades,bought and broken up
Tomra Systems ASA,source,
Toothfriendly International,no logo: individual or small local firm,
TopCommNG,no logo: individual or small local firm,
Tote,source,
Toucan,no logo: individual or small local firm,
Tourism Development & Investment company TDIC,source,"Abu Dhabi developer, since folded into Aldar and Miral; Will ticked 24 Sep 2026"
Tradall,no logo: individual or small local firm,
Trading Point of Financial Instruments,source,XM
TransferTo Mobile Financial Services,no logo: Will unticked,now DT One
Transform Consulting Company,no logo: individual or small local firm,
Transmed Overseas,no logo: Will unticked,Levant distributor
Transport Services,no logo: individual or small local firm,
Transport for the North,source,
Travelport,source,
Treehouse,no logo: individual or small local firm,
Trez Event Center,no logo: individual or small local firm,
Tristar Transport,source,UAE fuel logistics group; Will ticked 24 Sep 2026
Trivago,source,
Tullow Ghana,source,Tullow Oil
Tullow Group Services,source,Tullow Oil
Turki Al-Mubadal,no logo: individual or small local firm,
Turkish Aerospace Industry (TAI),source,
U.S. Department of Agriculture,alias added,usda.png
UAE Critical National Infrastructure Authority (CNIA),no logo: Will unticked,UAE security body
UAE Federal Authority for Nuclear Regulation (FANR),source,
UAE General Civil Aviation Authority (GCAA),source,
UAE Government Communications Office (GCO),source,
UAE Jiu Jitsu Federation,source,
UAE Ministry of Health and Prevention,source,
UAE Ministry of State for Happiness,no logo: Will unticked,"UAE ministry, since abolished"
UAE Office for the Coordination of Foreign Aid,no logo: Will unticked,merged into UAE foreign ministry
UAE Public Diplomacy Office,source,
UAE Regulation and Supervision Bureau,source,"Abu Dhabi utilities regulator, since merged; Will ticked 24 Sep 2026"
UAE Signals Intelligence Agency (SIA),source,UAE intelligence body; Will ticked 24 Sep 2026
UK Department of Transport,source,
UK Investigatory Powers Commissioner's Office,source,
UK Office for National Statistics (ONS),source,
UK Trade and Investment (UKTI),source,now Department for Business and Trade; Will ticked 24 Sep 2026
UNAIDS,source,
UP Romania,no logo: individual or small local firm,
UPS,source,
US Consulate Jordan,source,US State Department; Will ticked 24 Sep 2026
US Embassy Nairobi,source,US State Department; Will ticked 24 Sep 2026
US Embassy Nigeria,source,US State Department; Will ticked 24 Sep 2026
USAID,source,closed in 2025; Will ticked 24 Sep 2026
UWC Dilijan College,source,UWC
Ubisoft,source,
Uche Bede-Nwokoye,no logo: individual or small local firm,
Uganda Bureau of Statistics,source,
Uganda Cancer Institute,source,
