match_name,decision,note
Laureate Vocational Saudi Arabia,no logo: individual or small local firm,
Law Business Research,ask Will,UK legal publisher
Lead Contracting & Trading,no logo: individual or small local firm,
Legal Services Board,source,
Legatum,source,
Lex Data Consulting,no logo: individual or small local firm,
Liberia Medicines and Health Product Regulatory Authority,source,
Libya National Oil Corporation,source,
Lifera,source,
Lightblue,no logo: individual or small local firm,
Limpopo Econmic Development agency,ask Will,South African provincial agency
Litmus MR,no logo: individual or small local firm,
Lockton,source,
London Business School,source,
Louvre Hotels Group,source,
LuLu Center,source,LuLu Group
Luxury Tour Travel and Tourism,no logo: individual or small local firm,
Lygature,ask Will,Dutch health research body
MAN,alias added,man.png
MB Holding Company,ask Will,Oman oil and mining group
MBNL,ask Will,UK mobile network joint venture
MCG,no logo: individual or small local firm,
MCI,source,
MCS Holding,ask Will,Mongolian group
MCT FZE Chaloub Group,source,Chalhoub Group
MCTS Chabowski Consultants,no logo: individual or small local firm,
MDZ Swiss Dentaprime,no logo: individual or small local firm,
MEBS International,no logo: individual or small local firm,
MEC,no logo: brand no longer trades,merged into Wavemaker
MENA Energy,no logo: individual or small local firm,
MHPS Europe,alias added,mitsubishi.png
MISC Berhad,source,
MMG Eventz FZ,no logo: individual or small local firm,
MOLSAMD,ask Will,same ministry as above
MOPA,ask Will,"Mozambique, name unclear"
MPR Public Relations and Marketing Communications Consultancy,no logo: individual or small local firm,
MRS Oil & Gas,ask Will,Nigerian oil company
MS & RYB,no logo: individual or small local firm,
MV Consulting,no logo: individual or small local firm,
Mabanee Company K.P.S.C,source,
MacPaw,source,
Maersk,source,Maersk
Maestro Capital,no logo: individual or small local firm,
Magilatech Middle East,no logo: individual or small local firm,
Maha AlMezaina,no logo: individual or small local firm,
Maitland Central Services,ask Will,Isle of Man fiduciary firm
Majis Industrial Services,ask Will,Sohar water company
Makib Ventures Consulting,no logo: individual or small local firm,
Maldives Pension Administration Office,source,
Management Sciences for Health,source,
Manchester Mental Health and Social Care Trust,ask Will,"NHS trust, since merged"
ManpowerGroup Middle East,source,ManpowerGroup
Mar ITC,no logo: individual or small local firm,
Marianne Rees-Hawkins,no logo: individual or small local firm,
Marigot,no logo: individual or small local firm,
Marine Core & Charter,no logo: individual or small local firm,
Maritime Boundary Office,ask Will,Timor-Leste government office
Maritime Construction Services,no logo: individual or small local firm,
Mashael Abdullah AlRezouq,no logo: individual or small local firm,
McAndrews,no logo: individual or small local firm,
Media Circle,no logo: individual or small local firm,
MediaQuest,ask Will,UAE media group
Mediacraft Associates,no logo: individual or small local firm,
Medicines for Malaria Venture,source,
Meirc Training and Consulting,source,
Meraas,ask Will,Dubai Holding unit: own logo or Dubai Holding?
Mercator,ask Will,"UAE, which firm is unclear"
Mercedes-Benz,alias added,"mercedes-benz-daimler.png, mercedes-benz-star.png"
Merchant Navy Pensions Administration (MNPA),no logo: individual or small local firm,
Mercieca,no logo: individual or small local firm,
Meshbak,no logo: individual or small local firm,
Metro Jeddah,ask Will,Jeddah metro company
Micronesia Petroleum Corporation,no logo: individual or small local firm,
Microtel,no logo: individual or small local firm,
Middle East Glass Manufacturing Company S.A.E,no logo: individual or small local firm,
Middle East Public Relations Association (MEPRA),source,
Midwestern Oil and Gas Company,no logo: individual or small local firm,
Ministry of Finance and Economic Development for Hirshabelle State of Somalia,no logo: individual or small local firm,
Mishkat Interactive Center,no logo: individual or small local firm,
Misk Foundation,source,
Mobitrans,no logo: individual or small local firm,
Mohamed Suhail Al Muharrami,no logo: individual or small local firm,
Mohamed Yousuf Naghi & Brothers Group,ask Will,Saudi trading group
MonaLuxe,no logo: individual or small local firm,
Morningstar UK,source,
Mozal,ask Will,South32 aluminium smelter: own logo or South32?
Mphanda Nkuwa Hydroelectric Project Implementation Office,no logo: individual or small local firm,
Mrs. Ilona Kenkadze,no logo: individual or small local firm,
Msc Marcks International,no logo: individual or small local firm,
Multiply Marketing Consultancy,no logo: individual or small local firm,
Muscat National Development and Investment Company,ask Will,Oman investment company
Muscular Dystrophy UK,source,
Mya Consulting,no logo: individual or small local firm,
N1,no logo: individual or small local firm,
NBK Capital,source,parent National Bank of Kuwait
NBS Communications,no logo: individual or small local firm,
NCAS,ask Will,"UK, which body is unclear"
NCB Capital,alias added,snb.png
NCRIB,no logo: individual or small local firm,
NEOM,source,
NEPL/FHN JV OML 26 AMT,no logo: individual or small local firm,
NEREUS,no logo: individual or small local firm,
NESA,ask Will,"NESA Center or schools council, unclear"
NIFOR,no logo: individual or small local firm,
NIRSAL,source,
NIS,source,
NRS International,ask Will,relief supplies firm
NRS Relief,no logo: individual or small local firm,
NUPCO,source,
NYU,alias added,nyu.png
Nahj Al Amal Training Center,no logo: individual or small local firm,
Nairobi Ministry of Metropolitan Development,ask Will,"Kenyan ministry, since abolished"
Nasser Salem Al Nahdi,no logo: individual or small local firm,
Nation Media Group,source,
National Assembly of Wales,source,current mark Senedd
National Association of Head Teachers,source,
National Bank of Abu Dhabi,source,successor First Abu Dhabi Bank
National Bank of Bahrain,source,
National Bank of Kuwait,source,
National Bank of Oman,source,
National Bank of Rwanda,source,
National Cash Transfer Office,ask Will,Nigerian government office
National Central Cooling Company,alias added,tabreed.png
National Drilling Company,alias added,adnoc.png
National Health Insurance Scheme,source,current mark NHIA
National Housing Federation,source,
National Library of NIG,source,
National Marine Dredging Company,source,
National Microfinance Bank,source,
National Network Communications,no logo: individual or small local firm,
National Nutrition Agency (NaNa),ask Will,Gambia government agency
National Paper Products Company,no logo: individual or small local firm,
National Petroleum Institute of Mozambique (INP),source,
National Power Training Institue of Nigeria (NAPTIN),ask Will,Nigerian government institute
National Rehabilitation Centre,ask Will,Abu Dhabi rehab centre
National Social Security and Insurance Trust,alias added,ssnit.png
National Transformation Program Center,source,
National Union of Students,source,
National Water Company,source,
NautaDutilh,source,
Navitas,source,
"Nazlee Tayob, Mina Seyahi Complex",no logo: individual or small local firm,
Neconde Energy,no logo: individual or small local firm,
Nemetschek OOD,source,Nemetschek
Neuroimage Group,no logo: individual or small local firm,
New Age Media Romania,no logo: individual or small local firm,
NewsMast,no logo: individual or small local firm,
Niger Delta Development Commission (NDDC),source,
Niger State Rural Access and Mobility Project,no logo: individual or small local firm,
Nigeria Bulk Electricity Trading,ask Will,Nigerian government company
Nigeria Deposit Insurance Corporation (NDIC),source,
Nigeria Economic and Financial Crimes Commission (EFCC),source,
Nigeria Federal Inland Revenue Service (FIRS),source,
Nigeria Federal Road Safety Corps,source,
Nigeria Federal University of Technology,ask Will,campus not named
Nigeria Governors' Forum Secretariat,source,
Nigeria Independent National Electoral Commission (INEC),source,
Nigeria Industrial Training Fund (ITF),source,
Nigeria National Agency for the Control of AIDS (NACA),source,
Nigeria National Broadcasting Commission,source,
Nigeria Office of Accountant General of The Federation,source,
Nigeria Office of the Head of Civil Service of the Federation,source,
Nigeria Oil Producers Trade Section (OPTS),ask Will,same body as OPTS
Nigerian British Alliance on Mentorship (IMC-NMP),no logo: individual or small local firm,
Nigerian Electricity Regulatory Commission,source,
Nigerian Export - Import bank,source,
Ninestiles Academy Trust,no logo: individual or small local firm,
Noble Trading,no logo: individual or small local firm,
North East Recovery and Stability Program,no logo: individual or small local firm,
North Oil Company (NOC),source,
Novartis,source,
Now Training,no logo: individual or small local firm,
Nuqtah,no logo: individual or small local firm,
Nyema Ndu-iheme,no logo: individual or small local firm,
Nyonmo fee multimedia,no logo: individual or small local firm,
OLX Group,source,
OMV Middle East & Africa,source,OMV
OOCEP,alias added,oq.png
OPTS,ask Will,Nigeria Oil Producers Trade Section
OSN,source,
Oando,source,
Oceana Gulf Contracting,no logo: individual or small local firm,
Octal,source,
Octopus Investments,source,
Office for Criminal Justice Reform,no logo: brand no longer trades,"UK body, closed"
"Office of HRH Prince Ali Bin Al Hussein, FIFA Vice President",no logo: individual or small local firm,
Oikocredit International,source,
Okavango Research Institute,ask Will,University of Botswana unit
Oldendorff,alias added,oldendorff.png
Olive,no logo: individual or small local firm,
Olympic Delivery Authority (ODA),no logo: brand no longer trades,wound up 2014
Oman Airports,source,
Oman Authority for Electricity Regulation,source,current mark APSR
Oman Environmental Services Holding Company,source,Oman be'ah
Oman Environmental Services Holding Company (be'ah),source,Oman be'ah
Oman Gas Company,alias added,oq.png
Oman Information Technology Authority,ask Will,merged into an Oman ministry
Oman Insurance Company,source,current mark Sukoon
Oman International Development & Investment Co (Ominvest),source,
Oman International Maritime College,ask Will,Oman college
Oman LNG,source,
Oman National Security Service Group (NSSG),ask Will,Oman security body
Oman Public Authority for Electricity and Water,ask Will,abolished Oman body
Oman Public Authority for Social Insurance,ask Will,merged into Oman Social Protection Fund
Oman Telecommunications Regulatory Authority,source,
Oman Tourism Development Co (OMRAN),source,
Omani Authority for Partnership and Development,source,
Omnix Pharma,no logo: individual or small local firm,
OnTime Group,no logo: individual or small local firm,
Ooredoo,source,
Open Society Initiative for West Africa (OSIWA),source,
Optimum Consult Nigeria,no logo: individual or small local firm,
Orascom Telecom,no logo: brand no longer trades,absorbed into VEON
Organisation for Economic Co-operation and Development,source,
Orient Insurance,alias added,al-futtaim.png
Oriental Energy Resources,no logo: individual or small local firm,
Originel,no logo: individual or small local firm,
Osborne,ask Will,UK construction firm
Osool Asset Management,no logo: individual or small local firm,
Osun Rural Access and Mobility Project,no logo: individual or small local firm,
Overseas Development Institute,source,
Oxford International AQA Examinations,source,OxfordAQA
Oxygen Entertainment,no logo: individual or small local firm,
PA Resources,no logo: brand no longer trades,wound up
PANTA RAY,no logo: individual or small local firm,
PCNI,ask Will,"Nigeria, name unclear"
PEN International,source,
PH Communications,no logo: individual or small local firm,
PKR Technologies,no logo: individual or small local firm,
PNY Trainings,no logo: individual or small local firm,
PR Action,no logo: individual or small local firm,
PR Africa International,no logo: individual or small local firm,
PRCO,ask Will,PR agency
PSG Communications,no logo: individual or small local firm,
Pacific Prime,ask Will,insurance broker
Pakistan National Electric Power Regulatory Authority,source,
Palestine Investment Fund,source,
Palestine Monetary Authority,source,
Palma Hospitality Group,no logo: individual or small local firm,
Particip,ask Will,German development consultancy
Passion for Life Healthcare,no logo: individual or small local firm,
Paula's Choice,source,
Peace Brigades International,source,
Pears National Centre for Autism Education,no logo: individual or small local firm,
Pepper Communication,no logo: individual or small local firm,
Permanent Representation of Latvia to the EU,ask Will,Latvia government
Personio HR Operating System,source,
Personnel Recruitment Center Career-Holdings,no logo: individual or small local firm,
Petony Technical Company,no logo: individual or small local firm,
Petro Rabigh,source,
Petrochad (ExxonMobil/Esso),ask Will,"Chad oil: Esso logo, ExxonMobil logo or none?"
Petroleum Products Pricing Regulatory Agency (PPPRA),ask Will,merged into NMDPRA
Petroleum Technology Development Fund,source,
Philippines Department of Finance,source,
PhosphonicS,no logo: individual or small local firm,
Pilgrims Group,ask Will,UK security firm
Place Communications FZ,no logo: individual or small local firm,
Polycor,ask Will,Canadian stone quarrier
Port of Fujairah,source,
Power Lab Pro Bulgaria,no logo: individual or small local firm,
Premier Oil Pakistan Holdings,no logo: brand no longer trades,"Premier Oil, now Harbour Energy"
Preqin,source,
Presidential Committee On North-East Initiative,no logo: individual or small local firm,
Priory Group,source,
Professional Sports Group,no logo: individual or small local firm,
Prudentia Technology Solutions India Private,no logo: individual or small local firm,
Punjab Education Sector Programme II (PESP2),no logo: individual or small local firm,
PurpleKube,no logo: individual or small local firm,
QA,source,
Qatar Airways,source,
Qatar Defence Attaché,ask Will,Qatari armed forces office
Qatar Fertiliser Company (QAFCO),ask Will,QatarEnergy subsidiary: own logo or QatarEnergy?
Qatar Islamic Bank Sudan,source,parent QIB
Qatar Stars League (QSL),source,
Qatargas,alias added,qatarenergy.png
Qiddiya,source,
Qsoft Holding,no logo: individual or small local firm,
Quandoo,ask Will,restaurant booking platform
Queen Rania Foundation,source,
Qurain Petrochemical Industries Company,ask Will,Kuwait petrochemicals
Qurum Business Group,no logo: individual or small local firm,
RAK Gas,ask Will,Ras Al Khaimah gas company
RAK Hospitality Holding,ask Will,Ras Al Khaimah hotel owner
RAPIDE,no logo: individual or small local firm,
REPOA,ask Will,Tanzanian think tank
RINGANA,ask Will,Austrian cosmetics brand
RMN Consultants,no logo: individual or small local firm,
RNOH NHS Trust,ask Will,NHS trust
RSPB,source,
Rabdan Academy,source,
Radioactive PR,no logo: individual or small local firm,
Rana Faqihi,no logo: individual or small local firm,
Rank Metal Group Bangkok,no logo: individual or small local firm,
Rashid Centre for Diabetes and Research,ask Will,Ajman health centre
Rauf Textile and Printing Mills Pakistan,no logo: individual or small local firm,
Ravengokz International Enterprises,no logo: individual or small local firm,
Red Kite Community Housing,no logo: individual or small local firm,
Red Sea Gateway,source,
Reed in Partnership,source,Reed
Relativity,source,
Relyt International Afghanistan,no logo: individual or small local firm,
Remark Research and Marketing Consulting,no logo: individual or small local firm,
Rendeavour,ask Will,African new-cities developer
Renée Mair,no logo: individual or small local firm,
ReputationInc,ask Will,UK reputation consultancy
Research & Branding Group,no logo: individual or small local firm,
Right to Play UK,source,
Rivers State House of Assembly,no logo: individual or small local firm,
Riyadh Central Ar Development Company (CADC),ask Will,same company as above
Riyadh Valley Company,ask Will,PIF venture fund
Road Maintenance Fund Administration,ask Will,Sierra Leone government fund
Road Transport and Safety Agency Zambia,source,
Robert Bird Group,source,
Rockwell Collins International Inc.-Dubai,no logo: brand no longer trades,now Collins Aerospace
Romanian Petroleum Exploration and Production Companies Association (ROPEPCA),ask Will,trade body
Rona Destina Bilgiç Tveit,no logo: individual or small local firm,
Rotopak,no logo: individual or small local firm,
Royal Catering,no logo: individual or small local firm,
Royal College of Surgeons in Ireland (RCSI),source,
Royal Hospital Chelsea (RHC),source,
Royal National Lifeboat Institution (RNLI),source,
Rwanda Events Group,no logo: individual or small local firm,
Rwanda Ministry of Natural Resources,ask Will,now Ministry of Environment
S & A Produce (UK),no logo: individual or small local firm,
S-Chem,ask Will,Saudi chemical joint venture
S.C. Island Fest,no logo: individual or small local firm,
S.C. Web Ventures,no logo: individual or small local firm,
S.T.O.K.,no logo: individual or small local firm,
SACE,source,
SAE Institute,source,
SAHCOL,ask Will,Nigerian ground handler
SAM Electromechanical Company,no logo: individual or small local firm,
SC. Dedeman,source,
SEDCO Holding,ask Will,Saudi family holding company
SEEN Group,no logo: individual or small local firm,
SEMINARIUM Capital Humano S.A. De C.V.,no logo: individual or small local firm,
SENAAT,ask Will,ADQ industrial arm: own logo or ADQ?
SEPLAT,source,
SFM,no logo: individual or small local firm,
SNC-Lavalin,source,current mark AtkinsRéalis
SNIWW Events & Consulting,no logo: individual or small local firm,
SOCAR,source,
SOS Children's Village International,source,
SOS Children's Villages Gulf Area Office,source,SOS Children's Villages
SPI Pharma,ask Will,US excipients maker
SPT training orgnaztion and freelance,no logo: individual or small local firm,
SRAK,no logo: individual or small local firm,
STMicroelectronics,source,
SWIFT,source,
Sahara Group,source,
Saint-Gobain,source,
Saipem,source,
Salam World,no logo: individual or small local firm,
Salterbaxter,ask Will,UK sustainability agency
Sami Akeel Advertising Agency,no logo: individual or small local firm,
Sami Navantia Naval Industries,source,
Sampa,no logo: individual or small local firm,
Sandvine,source,
Saray Capital (DIFC),no logo: individual or small local firm,
Saudi Agricultural and Livestock Investment,source,
Saudi Arabia Cultural Bureau,ask Will,Saudi cultural office abroad
Saudi Arabian Insurance Co. BSC Dubai branch,no logo: individual or small local firm,
Saudi Authority for the Care of Persons with Disabilities (APD),source,
Saudi British Bank,source,current mark SAB
Saudi Council of Economic and Development Affairs (CEDA),source,
Saudi Development and Training Co. (SDT),no logo: individual or small local firm,
Saudi Electricity Regulatory Authority (SERA),source,
Saudi General Authority for Competition (GAC),source,
Saudi Ground Services,source,
Saudi Job Creation Commission,ask Will,"Saudi body, since merged"
Saudi Ministry of Communications and Information Technology (MCIT),source,
Saudi Ministry of Education,source,
Saudi Ports Development Company,ask Will,Saudi ports company
Saudi Small and Medium Enterprises General Authority (Monsha'at),source,
Saudi Technology Development and Investment Company (TAQNIA),source,
Saudi Tourism Development Fund (TDF),source,
Schenker,ask Will,"DB Schenker, being rebranded DSV after the 2025 takeover"
Seafox,ask Will,offshore accommodation firm
Seaways International,no logo: individual or small local firm,
Secretariat of the Latvian Presidency of the Council of the European Union,no logo: brand no longer trades,temporary body
Seddiqi Holding,ask Will,"parent of Ahmed Seddiqi: its own logo, or the Ahmed Seddiqi logo already in the library?"
Seize Institute of Consulting and Business Solutions,no logo: individual or small local firm,
Serbia Anti-Corruption Agency,source,
Serimax,ask Will,pipeline welding firm
Seychelles Civil Aviation Authority (SCAA),source,
Seychelles Tourism Board,source,
Shahad AlMahboob,no logo: individual or small local firm,
Shaikha Mozah Al Maktoum,no logo: individual or small local firm,
Shams Power Company,ask Will,Masdar solar joint venture: own logo or Masdar?
Shanti Bhavan Children's Project,no logo: individual or small local firm,
Sharjah Capability Development (Tatweer),ask Will,Sharjah body
Sharjah Investment and Development Authority (Shurooq),source,
Sharjah Ladies Club,ask Will,Sharjah club
Sheikh Saud bin Saqr Al Qasimi Foundation for Policy Research,ask Will,RAK policy foundation
Sheikha Iman M Al-Sabah,no logo: individual or small local firm,
Sierra Leone Institute of International Law,no logo: individual or small local firm,
Sierra Leone National Revenue Authority,source,
Silicom,no logo: individual or small local firm,
Simulia Communications,no logo: individual or small local firm,
Size chunk Resources,no logo: individual or small local firm,
Skyway Aviation Handling Company,ask Will,Nigerian ground handler (SAHCO)
Slovenia Government,source,
Smartenergygb,source,
Smarttys Management,no logo: individual or small local firm,
Smartworld,ask Will,UAE IT firm
Smidts & Partners,no logo: individual or small local firm,
Sohar Industrial Port Company,source,Sohar Port and Freezone
Sohar Port and Freezone,source,
Solidaridad,source,
Solutions Leisure,no logo: individual or small local firm,
Sondos AlJazairy,no logo: individual or small local firm,
Soros Foundation-Kazakhstan,ask Will,Open Society foundation
Soul Communications PR,no logo: individual or small local firm,
Soulcomms,no logo: individual or small local firm,
South Africa PPP Unit/National Treasury,source,National Treasury
South East England Development Agency (SEEDA),no logo: brand no longer trades,abolished 2012
Soya Group Support,no logo: individual or small local firm,
Specialist Prosecutor's Office,ask Will,Kosovo specialist court prosecutor
Splash fm 105.5,no logo: individual or small local firm,
Spot Buy Center,no logo: individual or small local firm,
Standard Events,no logo: individual or small local firm,
Standard Media Group Kenya,source,
Standards Council of Canada (SCC),source,
Standing Conference of Towns and Municipalities,ask Will,Serbia local government body
StardustConcept Design Services,no logo: individual or small local firm,
Stars of Science TV Show,source,
Start,no logo: individual or small local firm,
Starwood Hotels and Resorts,no logo: brand no longer trades,bought by Marriott
State Trading Organisation,source,
Sterling Bank,source,
Stevanato Group,source,
Strategic Gears,ask Will,Saudi consultancy
Strategico FZ,no logo: individual or small local firm,
Suez Canal Container Terminal,source,parent APM Terminals
Suliman Abdulaziz AlRajhi Real Estate Investments,no logo: individual or small local firm,
Sunbird Group,no logo: individual or small local firm,
Suprema Securities,no logo: individual or small local firm,
Sure IT Recruitment,no logo: individual or small local firm,
Swedish Trade Council,source,successor Business Sweden
Swiss Embassy Uzbekistan,ask Will,Switzerland government
SwissCore,ask Will,Swiss research office in Brussels
Switzerland Water Supply and Sanitation Collaborative Council (WSSCC),ask Will,now Sanitation and Hygiene Fund
TDF Architects,no logo: individual or small local firm,
TDIC,ask Will,same company as above
TFB Consulting,no logo: individual or small local firm,
TGP International,no logo: individual or small local firm,
TGT Diagnostics,no logo: individual or small local firm,
TGT Oilfield Services,ask Will,well diagnostics firm
TIG Communications,no logo: individual or small local firm,
TOH PR,no logo: individual or small local firm,
TOLO News,source,
TOPdesk,source,
TPI Enterprises,ask Will,Australian pharmaceutical raw materials firm
TPP,ask Will,"UK, which firm is unclear"
TT2,ask Will,Tyne Tunnels operator
TTTech Auto Iberia,ask Will,Austrian car software firm
TY Danjuma Family Office,no logo: individual or small local firm,
Tahakom,source,
Takaful Emarat,ask Will,UAE insurer
Takamol Holding,source,
Takatuf Oman,source,
Tamkeen Abu Dhabi,ask Will,"Abu Dhabi, which Tamkeen is unclear"
Tamkeen Bahrain,source,
Tanmeyah Consulting Group,no logo: individual or small local firm,
Tanzania EWURA Consumer Consultative Council,no logo: individual or small local firm,
Tanzania National Parks,source,
Tanzania President's Office,ask Will,Tanzania government
Tashkeel,source,
Tasnee,source,
Tasweeq,ask Will,"Qatar marketing company, merged into QatarEnergy"
Tatweer Education Holding Company,source,
Tawal,source,
Tawazun,source,
Tawuniya,source,
Technical Centre for Agricultural and Rural Cooperation (CTA),no logo: brand no longer trades,closed 2020
Telefónica Ireland,no logo: brand no longer trades,bought by Three
Tellurian Services,no logo: individual or small local firm,
Tema Oil Refinery (TOR),source,
Texas A&M University at Qatar,source,Texas A&M
The Address Dubai Marina,alias added,emaar-hospitality.png
The African Academy of Sciences,source,
The America for Bulgaria Foundation,ask Will,US-Bulgarian foundation
The American International School of Muscat (TAISM),ask Will,school
The Association of Business Executives,ask Will,UK awarding body
The Bank of Sierra Leone,source,
The Benefit Company,ask Will,Bahrain payments company
The Brand Union,no logo: brand no longer trades,"merged into Superunion, now Design Bridge and Partners"
The Cavalry Collective,no logo: individual or small local firm,
The Center of Waste Management,source,current mark Tadweer
The Climate Group,source,
The Communication Group,no logo: individual or small local firm,
The Duke of Edinburgh's International Award Foundation,source,
The Executive Office of HH Sheikh Mohammed (TEO),source,
The Fishmongers' Company,source,
"The Galleria, Al Maryah Island",source,
The Investment Climate Facility for Africa,no logo: individual or small local firm,
The Microfinance Support Centre,no logo: individual or small local firm,
The Netherlands Nutrition Centre,ask Will,Dutch public body
The Petroleum Institute,alias added,khalifa-university.png
The Redeemed Christian Church of God (RCCG),ask Will,Nigerian church
The University of the West Indies Trinidad and Tobago,source,
Tigerspike,ask Will,digital agency
Tomkins,no logo: brand no longer trades,bought and broken up
Tomra Systems ASA,source,
Toothfriendly International,no logo: individual or small local firm,
TopCommNG,no logo: individual or small local firm,
Tote,source,
Toucan,no logo: individual or small local firm,
Tourism Development & Investment company TDIC,ask Will,"Abu Dhabi developer, since folded into Aldar and Miral"
Tradall,no logo: individual or small local firm,
Trading Point of Financial Instruments,source,XM
TransferTo Mobile Financial Services,ask Will,now DT One
Transform Consulting Company,no logo: individual or small local firm,
Transmed Overseas,ask Will,Levant distributor
Transport Services,no logo: individual or small local firm,
Transport for the North,source,
Travelport,source,
Treehouse,no logo: individual or small local firm,
Trez Event Center,no logo: individual or small local firm,
Tristar Transport,ask Will,UAE fuel logistics group
Trivago,source,
Tullow Ghana,source,Tullow Oil
Tullow Group Services,source,Tullow Oil
Turki Al-Mubadal,no logo: individual or small local firm,
Turkish Aerospace Industry (TAI),source,
U.S. Department of Agriculture,alias added,usda.png
UAE Critical National Infrastructure Authority (CNIA),ask Will,UAE security body
UAE Federal Authority for Nuclear Regulation (FANR),source,
UAE General Civil Aviation Authority (GCAA),source,
UAE Government Communications Office (GCO),source,
UAE Jiu Jitsu Federation,source,
UAE Ministry of Health and Prevention,source,
UAE Ministry of State for Happiness,ask Will,"UAE ministry, since abolished"
UAE Office for the Coordination of Foreign Aid,ask Will,merged into UAE foreign ministry
UAE Public Diplomacy Office,source,
UAE Regulation and Supervision Bureau,ask Will,"Abu Dhabi utilities regulator, since merged"
UAE Signals Intelligence Agency (SIA),ask Will,UAE intelligence body
UK Department of Transport,source,
UK Investigatory Powers Commissioner's Office,source,
UK Office for National Statistics (ONS),source,
UK Trade and Investment (UKTI),ask Will,now Department for Business and Trade
UNAIDS,source,
UP Romania,no logo: individual or small local firm,
UPS,source,
US Consulate Jordan,ask Will,US State Department
US Embassy Nairobi,ask Will,US State Department
US Embassy Nigeria,ask Will,US State Department
USAID,ask Will,closed in 2025
UWC Dilijan College,source,UWC
Ubisoft,source,
Uche Bede-Nwokoye,no logo: individual or small local firm,
Uganda Bureau of Statistics,source,
Uganda Cancer Institute,source,
Uganda Electricity Generation Company,source,
Uganda National Council for Science and Technology (UNCST),source,
Uganda National Oil Company,source,
Uganda National Planning Authority,source,
Uganda National Roads Authority,source,
Umbutfo Swaziland Defense Force,source,
Unilever,source,
Unique Group,ask Will,UAE offshore services group
Unique Shift,no logo: individual or small local firm,
United Arab Bank,source,
United Gulf Bank,ask Will,Bahrain bank
United Kingdom Permanent Representation to the European Union (UKRep),alias added,fcdo.png
United for Global Mental Health,ask Will,UK charity
Unity Resources Group,ask Will,security firm
Universidad Técnica Federico Santa María,source,
University of Buraimi,source,
University of Gibraltar,source,
University of Ilorin,source,
University of Jos,source,
University of Luxembourg,source,
University of New England,ask Will,UK entry; UNE is Australian or American
University of Salford,source,
Urban Transport Group,source,
Utilities Centre for Competences Development (UCCD),no logo: individual or small local firm,
VAMED,source,
VCE Technology Solutions,no logo: individual or small local firm,
VPOPA,ask Will,same office as above
VTTI,source,
Vantage,no logo: individual or small local firm,
Vassallo Builders Group,ask Will,Malta builder
Venture Capital Trust Fund,ask Will,Ghana government fund
Venture Setops Hellas,no logo: individual or small local firm,
Verenigde Tankrederij Spain SAU,no logo: individual or small local firm,
Veyseloglu Group of Companies,ask Will,Azerbaijani group
Vice President's Office for Political Affairs (VPOPA),ask Will,UAE
Videology,no logo: brand no longer trades,bought by Amobee
Vinsys IT Consultancy,no logo: individual or small local firm,
Virginia Department of Social Services,source,
Virginia Garcia Memorial Health Center,no logo: individual or small local firm,
Viva,alias added,stc.png
Vorwerk,source,
Voxbone,no logo: brand no longer trades,bought by Bandwidth
WABCO,no logo: brand no longer trades,bought by ZF
Wartung for Building Contracting,no logo: individual or small local firm,
Watts Gallery,source,
We Communications,source,
Webcorgroup,no logo: individual or small local firm,
Webedia Arabia,ask Will,media firm
Webtel.Mobi,no logo: individual or small local firm,
Wekalah Tawasol Muhtaref for Media and Advertising,no logo: individual or small local firm,
West Coast Asset Management,no logo: individual or small local firm,
West Northamptonshire Development Corporation,no logo: individual or small local firm,
Western Governors University,source,
Westin Hotels and Resorts,source,
Weststar Aviation Services,ask Will,Malaysian helicopter operator
What.digital,no logo: individual or small local firm,
WilmerHale,source,
Wine in Moderation (WIM),ask Will,EU wine sector body
World Food Programme (WFP),source,
World Intellectual Property Organization (WIPO),source,
World Meteorological Organization (WMO),source,
World N Traveland,no logo: individual or small local firm,
World Resources Institute,source,
World Travel and Tourism Council (WTTC),source,
Worldcocoa,no logo: individual or small local firm,
Worldremit Services,source,WorldRemit
XM,source,
XXCWILSON,no logo: individual or small local firm,
Xeretec,no logo: individual or small local firm,
YASREF,ask Will,Aramco refinery joint venture: own logo or Aramco?
Yahsat,source,successor Space42
Yas Marina Circuit,source,
Yas Viceroy Abu Dhabi,ask Will,"now W Abu Dhabi, a Marriott hotel"
Yayasan Rakyat 1Malaysia,no logo: individual or small local firm,
Yemen LNG Company,source,
Zabeel,no logo: individual or small local firm,
Zambia Airports,source,
Zambia Office of the Auditor General,source,
Zamilindustrial,source,Zamil Industrial
Zanzibar Legal Affairs Public Service,no logo: individual or small local firm,
Zaya Living Real Estate Development,no logo: individual or small local firm,
Zeobit,no logo: individual or small local firm,
bwin.party services Austria,no logo: brand no longer trades,now Entain
eShare,no logo: individual or small local firm,
inRiver,ask Will,Swedish software firm
scoutbee,ask Will,German procurement software
shaikha ahmed alrohayem,no logo: individual or small local firm,
